"","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Afghanistan",-0.297,0.223,0.459,0.401,-0.064,0.409,0.585,1.192,1.039,1.355,1.361,0.632,1.37,0.477,1.754,0.745,0.798,0.982,1.695,1.463,0.283,1.325,0.536,1.166,1.581,1.626,1.682,1.125,0.652
"Albania",0.116,0.124,1.374,-0.127,0.014,0.117,0.838,0.718,1.12,1.573,0.533,1.016,0.453,0.216,0.493,1.487,1.152,1.016,1.145,1.133,1.577,1.431,1.357,1.703,1.624,1.286,2.189,1.858,1.671
"Algeria",-0.273,0.633,0.719,0.619,0.866,1.085,1.142,1.527,0.865,1.897,1.291,1.635,1.034,1.305,1.429,1.245,1.215,0.978,2.291,1.427,1.184,1.211,1.715,1.151,1.776,1.537,1.246,1.127,1.943
"Andorra",0.332,0.161,1.492,1.239,0.523,1.725,0.942,0.964,0.952,1.409,0.766,1.909,0.887,0.807,1.438,0.954,0.858,1.325,0.373,1.586,1.179,0.748,1.868,1.564,1.845,1.784,1.76,1.8,2.378
"Angola",0.606,0.34,0.295,0.827,0.455,0.3,1.206,0.499,0.248,0.326,0.759,0.948,0.397,1.084,0.455,0.753,0.409,0.64,1.16,0.828,0.528,0.97,0.776,1.319,1.733,0.952,1.26,1.752,1.057
"Anguilla",0.199,0.369,0.429,0.476,0.229,0.39,0.975,0.456,0.114,0.471,0.573,0.689,0.374,0.656,0.441,0.699,0.166,0.421,0.931,0.327,0.492,0.587,0.611,0.87,0.963,0.702,0.532,0.766,1.154
"Antarctica",0.334,-0.728,-0.206,-0.27,0.799,-0.543,-0.47,-0.581,-0.765,-0.049,1.272,-0.463,0.141,0.888,-0.067,0.694,0.617,1.354,0.825,0.738,-0.202,1.75,0.559,-0.085,0.229,0.773,1.451,0.638,0.779
"Argentina",-0.289,0.043,0.457,0.21,0.476,0.732,0.32,0.138,-0.22,0.392,0.259,0.593,0.384,0.171,0.508,-0.248,0.522,0.735,0.042,0.29,0.713,0.37,0.901,0.892,0.417,1.01,0.783,0.664,1.04
"Armenia",-1.283,-0.917,0.507,0.73,0.514,0.668,1.368,1.583,1.124,1.461,1.262,0.155,1.17,0.544,1.659,0.703,0.818,0.62,2.611,0.591,1.212,1.367,1.244,1.897,1.317,0.884,2.75,1.806,1.898
"Australia",0.247,0.449,0.187,0.377,0.559,0.349,1.048,0.56,0.121,0.304,0.687,0.778,0.666,1.137,0.653,0.865,0.557,0.96,0.619,0.148,0.24,1.436,1.141,1.038,1.126,1.111,1.104,1.405,1.404
"Austria",1.263,0.543,1.978,0.958,-0.183,0.533,1.363,1.001,1.788,1.523,1.556,1.487,0.857,0.657,0.94,2.166,1.611,1.572,0.684,1.398,1.81,1.122,2.43,2.184,2.115,1.765,2.563,2.408,2.357
"Azerbaijan",-0.834,-1.015,0.1,1.014,0.246,0.586,1.188,1.239,1.11,1.393,1.421,-0.162,1.284,0.844,1.486,0.938,0.89,0.755,2.292,0.733,1.425,1.514,1.176,1.597,1.385,1.236,2.181,1.967,1.968
"Bahamas",0.342,0.433,0.857,0.767,0.115,0.877,1.029,0.724,0.313,0.248,0.969,1.117,0.449,0.514,0.448,0.998,0.932,0.519,0.408,0.487,0.496,0.721,1.053,1.397,1.349,1.506,1.144,1.581,1.706
"Bahrain",-0.549,0.119,0.988,0.238,0.68,0.359,1.417,2.06,1.15,1.24,1.584,1.267,1.389,1.066,1.839,1.052,1.295,1.182,2.141,1.355,1.299,1.418,1.814,2.355,1.63,2.091,2.25,2.125,2.119
"Bangladesh",-0.047,-0.325,0.316,0.29,0.242,-0.015,0.598,0.877,0.337,0.461,0.52,0.373,0.418,0.766,1.007,0.472,0.26,1.037,1.005,0.292,0.485,0.377,0.563,0.796,1.395,1.242,1.039,1.264,1.053
"Barbados",0.254,0.314,0.303,0.355,0.198,0.175,0.967,0.351,0.192,0.395,0.372,0.76,0.614,1.056,0.765,0.605,0.252,0.374,1.101,0.648,0.48,0.76,0.405,0.86,1.153,0.792,0.509,0.974,0.816
"Belarus",1.272,0.025,1.141,1.501,-0.275,0.36,0.707,1.506,1.942,1.979,1.89,0.084,0.934,1.28,0.65,2.364,2.255,1.602,1.456,1.008,1.546,1.193,2.165,2.244,2.194,1.588,2.339,2.697,3.518
"Belize",0.303,0.326,0.632,0.657,0.113,0.781,0.826,0.34,0.064,0.339,0.643,0.881,0.64,0.793,0.595,0.797,0.523,0.863,0.777,0.655,0.574,0.714,0.715,1.235,1.367,1.273,0.742,1.443,1.653
"Benin",0.015,0.567,0.471,0.454,0.772,0.588,1.067,0.641,0.472,0.55,0.74,0.994,0.764,1.147,1.08,0.88,0.68,0.996,1.284,0.993,0.64,0.91,0.975,1.192,1.139,1.26,1.129,1.232,1.141
"Bhutan",-0.216,-0.256,0.257,0.431,0.204,-0.358,0.758,0.954,0.126,0.655,0.458,0.502,0.478,0.759,0.993,0.987,0.588,1.424,1.196,0.52,0.381,0.691,0.758,0.986,1.455,1.443,1.389,1.282,1.104
"Bolivia (Plurinational State of)",0.195,0.519,1.02,0.856,0.427,1.018,1.014,0.461,0.504,0.822,1.125,0.901,1.091,1.052,1.18,0.787,0.663,0.991,0.986,1.46,1.152,0.919,1.321,1.772,1.015,1.251,0.816,1.248,1.667
"Bosnia and Herzegovina",0.679,0.274,1.709,0.304,-0.022,0.129,1.078,0.627,1.537,1.549,1.163,1.11,0.607,0.152,0.633,1.917,1.427,1.436,1.011,1.169,1.809,1.371,1.902,1.89,1.749,1.498,2.356,2.119,1.996
